County,HighSchoolGrad,AttendingCollege,PercentAttending,Population 2023,Unemployment,MedianIncome,TotalPoverty,ChildhoodPoverty,Republican/Democrat,AdvancedDegreeMajority,Minority,SOLMath,SOLReading
Accomack County,347,159,45.8,"33,239",3.2,50949,16.2,25.7,Republican,Not Advanced,No,65.81,65.72
Albemarle County,1062,576,54.2,"115,676",2.6,91849,7,8.2,Democrat,Advanced,No,71.87,74.92
Alexandria City,925,500,54.1,"155,230",2.3,100877,9.9,15.1,Democrat,Not Advanced,No,54.87,60.51
Alleghany Highlands,182,41,22.5,"14,595",3.2,49197,13.3,19.7,Republican,Not Advanced,No,58.64,63.09
Amelia County,116,41,35.3,"13,480",2.9,62884,9.9,13.8,Republican,Not Advanced,No,59.17,58.34
Amherst County,288,87,30.2,"31,396",3,57294,12.4,17.4,Republican,Not Advanced,No,64.34,71.75
Appomattox County,164,56,34.1,"16,864",3.1,58860,11.5,16.1,Republican,Advanced,No,74.38,74.13
Arlington County,1821,1257,69,"234,162",2,124474,7.9,9.5,Democrat,Advanced,No,78.75,80.5
Augusta County,752,231,30.7,"78,247",2.5,69243,8.5,11.4,Republican,Not Advanced,No,68.45,69.83
Bath County,34,13,38.2,"4,051",2.4,56200,11.1,17,Republican,Advanced,No,77.86,79.61
Bedford County,755,346,45.8,"81,525",2.8,66026,8.8,12,Republican,Not Advanced,No,76.53,77.07
Bland County,42,18,42.9,"6,179",2.8,50492,14.4,17.4,Republican,Not Advanced,No,71.43,75.82
Botetourt County,362,162,44.8,"34,125",2.4,74081,7,8,Republican,Advanced,No,86.44,84.53
Bristol City,133,29,21.8,"16,807",3.3,41272,18.4,31.6,Republican,Not Advanced,No,65.66,71.04
Brunswick County,99,35,35.4,"15,749",4.5,47401,21.3,30.5,Democrat,Not Advanced,Yes,66.03,64.68
Buchanan County,199,45,22.6,"19,087",4.6,38087,23.9,34.2,Republican,Not Advanced,No,68.54,72.7
Buckingham County,150,46,30.7,"16,978",3.8,54263,16.8,21.7,Republican,Not Advanced,No,62.85,61.57
Buena Vista City,53,16,30.2,"6,566",2.8,47144,15.1,21.7,Republican,Not Advanced,No,78.5,74.82
Campbell County,588,106,18,"55,270",3,53059,10.9,15.5,Republican,Not Advanced,No,72.59,73.06
Caroline County,291,58,19.9,"32,640",3.1,73390,10.9,15.5,Republican,Not Advanced,No,55.36,61.51
Carroll County,236,57,24.2,"29,239",3.4,45956,14.6,23.8,Republican,Not Advanced,No,76.5,76.19
Charles City County,32,18,56.3,"6,610",3,63299,11.4,19,Democrat,Not Advanced,Yes,36.59,50.6
Charlotte County,119,45,37.8,"11,336",3,48382,16.9,25.8,Republican,Not Advanced,No,80.3,77.76
Charlottesville City,276,133,48.2,"44,983",2.5,61255,21.6,20.4,Democrat,Advanced,No,62.97,64.33
Chesapeake City,3199,1577,49.3,"253,886",2.8,87057,8.3,9.8,Democrat,Advanced,No,78.08,78.68
Chesterfield County,4911,2367,48.2,"383,876",2.7,86101,7.4,9.7,Democrat,Advanced,No,68.35,70.46
Clarke County,194,88,45.4,"15,466",2.5,91603,7.2,7.9,Republican,Advanced,No,67.65,71.07
Colonial Heights City,179,53,29.6,"18,393",3.1,59455,9.4,16.4,Republican,Not Advanced,No,67.86,73.58
Craig County,35,4,11.4,"4,843",2.9,57299,11.5,18.5,Republican,Not Advanced,No,59.46,65.13
